食物编码,分类编码,食物名称,食物类别,大类名称,子类编码,子类名称,是否常用,是否特色,可食部分(%),水分(g),能量(kcal),能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),胆固醇(mg),灰分(g),维生素A(μgRE),总胡萝卜素(μg),视黄醇(μg),硫胺素(mg),核黄素(mg),烟酸(mg),维生素C(mg),维生素E(mg),α-生育酚(mg),β+γ生育酚(mg),δ-生育酚(mg),钙(mg),磷(mg),钾(mg),钠(mg),镁(mg),铁(mg),锌(mg),硒(μg),铜(mg),锰(mg)
03-4-102,34102,花豆(紫),3,干豆类及制品,4,芸豆,A,,97,13.2,315,1318,17.2,1.4,65.8,7.4,—,2.4,47,280,—,0.14,—,2.7,—,9.64,—,—,—,221,169,641,19.6,120,5.9,3.40,74.06,0.92,1.08
03-4-103,34103,芸豆(白),3,干豆类及制品,4,芸豆,A,,100,14.4,296,1238,23.4,1.4,57.2,9.8,—,3.6,—,—,—,0.18,0.26,2.4,—,6.16,—,—,—,—,—,—,—,—,—,—,—,—,—
03-4-104,34104,芸豆(红),3,干豆类及制品,4,芸豆,A,,100,11.1,314,1314,21.4,1.3,62.5,8.3,—,3.7,30,180,—,0.18,0.09,2.0,—,7.74,0.20,7.14,0.40,176,218,1215,0.6,164,5.4,2.07,4.61,0.83,1.43
03-5-101,35101,蚕豆,3,干豆类及制品,5,蚕豆,A,,100,13.2,335,1402,21.6,1.0,61.5,1.7,—,2.7,—,—,—,0.09,0.13,1.9,2,1.60,0.98,0.62,…,31,418,1117,86.0,57,8.2,3.42,1.30,0.99,1.09
03-5-105,35105,脑豆,3,干豆类及制品,5,蚕豆,A,,100,10.7,360,1506,23.4,3.8,59.6,1.5,—,2.5,—,—,—,0.35,0.28,2.9,—,19.21,—,—,—,327,354,686,12.0,171,7.7,2.45,7.34,1.14,2.05
03-5-201,35201,蚕豆(烤),3,干豆类及制品,5,蚕豆,,,100,4.3,372,1556,27.0,2.0,63.8,2.2,—,2.9,18,110,…,0.22,0.12,4.8,—,5.16,0.42,4.74,…,229,454,1083,10.9,138,5.3,3.04,4.90,1.34,1.15
03-5-202,35202,蚕豆(炸)[开花豆],3,干豆类及制品,5,蚕豆,,,100,10.5,446,1866,26.7,20.0,40.4,0.5,—,2.4,—,—,—,0.16,0.12,7.7,—,5.15,2.36,2.79,…,207,330,742,547.9,69,3.6,2.83,2.10,0.94,0.18
03-9-101,39101,扁豆,3,干豆类及制品,9,其它,A,,100,9.9,326,1364,25.3,0.4,61.9,6.5,—,2.5,5,30,—,0.26,0.45,2.6,—,1.86,—,—,—,137,218,439,2.3,92,19.2,1.90,32.00,1.27,1.19
03-9-102,39102,扁豆(白),3,干豆类及制品,9,其它,A,F,100,19.4,257,1075,19.0,1.3,55.6,13.4,—,4.7,—,—,—,0.33,0.11,1.2,—,0.89,0.01,0.53,0.35,68,340,1070,1.0,163,4.0,1.93,1.17,0.52,1.31
03-9-201,39201,眉豆[饭豇豆],3,干豆类及制品,9,其它,,F,100,12.0,320,1339,18.6,1.1,65.6,6.6,—,2.7,—,—,—,0.15,0.18,2.1,—,12.29,…,4.89,7.40,60,310,525,86.5,171,5.5,4.70,2.89,0.86,2.14
03-9-202,39202,豇豆,3,干豆类及制品,9,其它,A,F,100,10.9,322,1347,19.3,1.2,65.6,7.1,—,3.0,10,60,—,0.16,0.08,1.9,—,8.61,5.34,3.27,…,40,344,737,6.8,36,7.1,3.04,5.74,2.10,1.07
